Listing of Port and Protocol, with known attacks. 13-May-03

A frequent visitor sent me the following table:
     Port  Protocol    Keyword                  D e s c r i p t i o n
    25     tcp         Hpteammail               [trojan] Hpteam mail 
    25     tcp         Hybris                   [trojan] Hybris 
    25     tcp         Iloveyou                 [trojan] I love you 
    25     tcp         Kuang2                   [trojan] Kuang2 
    25     tcp         MagicHorse               [trojan] Magic Horse 
    25     tcp         MBTMailBombingTrojan     [trojan] MBT (Mail Bombing Trojan) 
    25     tcp         MBT                      [trojan] MBT (Mail Bombing Trojan) 
    25     tcp         MoscowEmailtrojan        [trojan] Moscow Email trojan 
    25     tcp         Naebi                    [trojan] Naebi 
    25     tcp         NewAptworm               [trojan] NewApt worm 
    25     tcp         ProMailtrojan            [trojan] ProMail trojan 
    25     tcp         Shtirlitz                [trojan] Shtirlitz 
    25     tcp         Stealth                  [trojan] Stealth 
    25     tcp         Stukach                  [trojan] Stukach 
    25     tcp         Tapiras                  [trojan] Tapiras 
    25     tcp         Terminator               [trojan] Terminator 
    25     tcp         WinPC                    [trojan] WinPC 
    25     tcp         WinSpy                   [trojan] WinSpy 
    26     tcp         altavista-fw97           AltaVista Firewall97 
    27     tcp         altavista-fw97           AltaVista Firewall97 
    27     tcp         nsw-fe                   NSW User System FE 
    27     udp         nsw-fe                   NSW User System FE 
    28     tcp         altavista-fw97           AltaVista Firewall97 
    29     tcp         altavista-fw97           AltaVista Firewall97 
    29     tcp         msg-icp                  MSG ICP 
    29     udp         msg-icp                  MSG ICP 
    30     tcp         Agent40421               [trojan] Agent 40421 
    31     tcp         msg-auth                 MSG Authentication 
    31     udp         msg-auth                 MSG Authentication 
    31     tcp         Agent31                  [trojan] Agent 31 
    31     tcp         Agent31                  [trojan] Agent 31 
    31     tcp         HackersParadise          [trojan] Hackers Paradise 
    31     tcp         MastersParadise          [trojan] Masters Paradise 
    33     tcp         dsp                      Display Support Protocol 
    33     udp         dsp                      Display Support Protocol 
    35     tcp         priv-print               any private printer server 
    35     udp         priv-print               any private printer server 
    37     tcp         time                     Time 
    37     udp         time                     Time 
    38     tcp         rap                      Route Access Protocol 
    38     udp         rap                      Route Access Protocol 
    39     tcp         rlp                      Resource Location Protocol 
    39     udp         rlp                      Resource Location Protocol 
    39     tcp         SubSARI                  [trojan] SubSARI 
    41     tcp         graphics                 Graphics 
    41     udp         graphics                 Graphics 
    41     tcp         DeepThroat               [trojan] DeepThroat 
    41     tcp         DeepThroat               [trojan] Deep Throat 
    41     tcp         Foreplay                 [trojan] Foreplay 
    42     tcp         name                     Host Name Server 
    42     udp         name                     Host Name Server 
    43     tcp         whois                    nicname 
    43     udp         whois                    nicname 
    44     tcp         mpm-flags                MPM FLAGS Protocol 
    44     udp         mpm-flags                MPM FLAGS Protocol 
    44     tcp         Arctic                   [trojan] Arctic 
    45     tcp         mpm                      Message Processing Module [recv] 
    45     udp         mpm                      Message Processing Module [recv] 
    46     tcp         mpm-snd                  MPM [default send] 
    46     udp         mpm-snd                  MPM [default send] 
    47     tcp         ni-ftp                   NI FTP 
    47     udp         ni-ftp                   NI FTP 
    48     tcp         audi                     TDDigital Audit Daemon 
    48     udp         audi                     TDDigital Audit Daemon 
    48     tcp         DRAT                     [trojan] DRAT 
    48     tcp         DRAT                     [trojan] DRAT 
    49     tcp         tacacs                   Login Host Protocol (TACACS) 
    49     udp         tacacs                   Login Host Protocol (TACACS) 
    50     tcp         re-mail-ck               Remote Mail Checking Protocol 
    50     udp         re-mail-ck               Remote Mail Checking Protocol 
    50     tcp         DRAT                     [trojan] DRAT 
    50     tcp         DRAT                     [trojan] DRAT 
    51     tcp         la-maint                 IMP Logical Address Maintenance 
    51     udp         la-maint                 IMP Logical Address Maintenance 
    52     tcp         xns-time                 XNS Time Protocol 
    52     udp         xns-time                 XNS Time Protocol 
    53     tcp         domain                   Domain Name Server 
    53     udp         domain                   Domain Name Server 
    53     tcp         ADMworm                  [trojan] ADM worm 
    53     tcp         Lion                     [trojan] Lion 
    54     tcp         xns-ch                   XNS Clearinghouse 
    54     udp         xns-ch                   XNS Clearinghouse 
    55     tcp         isi-gl                   ISI Graphics Language 
    55     udp         isi-gl                   ISI Graphics Language 
    56     tcp         xns-auth                 XNS Authentication 
    56     udp         xns-auth                 XNS Authentication 
    57     tcp         priv-term                any private terminal access 
    57     udp         priv-term                any private terminal access 
    57     tcp         mtp                      Mail Transfer Protocol 
    58     tcp         xns-mail                 XNS Mail 
    58     udp         xns-mail                 XNS Mail 
    58     tcp         DMSetup                  [trojan] DMSetup 
    59     tcp         priv-file                any private file service 
    59     udp         priv-file                any private file service 
    59     tcp         DMSetup                  [trojan] DMSetup 
    59     tcp         DMSetup                  [trojan] DMSetup 
    61     tcp         ni-mail                  NI MAIL 
    61     udp         ni-mail                  NI MAIL 
    62     tcp         acas                     ACA Services 
    62     udp         acas                     ACA Services 
    63     tcp         whois++                  whois++ 
    63     udp         whois++                  whois++ 
    63     tcp         via-ftp                  VIA Systems - FTP & whois++ 
    63     udp         via-ftp                  VIA Systems - FTP & whois++ 
    64     tcp         covia                    Communications Integrator (CI) 
    64     udp         covia                    Communications Integrator (CI) 
    65     tcp         tacacs-ds                TACACS-Database Service 
    65     udp         tacacs-ds                TACACS-Database Service 
    66     tcp         sql*net                  Oracle SQL*NET 
    66     udp         sql*net                  Oracle SQL*NET 
    67     tcp         bootps                   Bootstrap Protocol Server 
    67     udp         bootps                   Bootstrap Protocol Server 
    68     tcp         bootpc                   Bootstrap Protocol Client 
    68     udp         bootpc                   Bootstrap Protocol Client 
    69     tcp         tftp                     Trivial File Transfer 
    69     udp         tftp                     Trivial File Transfer 
    69     tcp         BackGate                 [trojan] BackGate 
    70     tcp         gopher                   Gopher 
    70     udp         gopher                   Gopher 
    71     tcp         netrjs-1                 Remote Job Service 
    71     udp         netrjs-1                 Remote Job Service 
    72     tcp         netrjs-2                 Remote Job Service 
    72     udp         netrjs-2                 Remote Job Service 
    73     tcp         netrjs-3                 Remote Job Service 
    73     udp         netrjs-3                 Remote Job Service 
    74     tcp         netrjs-4                 Remote Job Service 
    74     udp         netrjs-4                 Remote Job Service 
    75     tcp         priv-dial                any private dial out service 
    75     udp         priv-dial                any private dial out service 
    76     tcp         deos                     Distributed External Object Store 
    76     udp         deos                     Distributed External Object Store 
    77     tcp         priv-rje                 any private RJE service  netrjs 
    77     udp         priv-rje                 any private RJE service  netjrs 
    78     tcp         vettcp                   vettcp 
    78     udp         vettcp                   vettcp 
    79     tcp         finger                   Finger 
    79     udp         finger                   Finger 
    79     tcp         BO2KDataPort             [trojan] Back Orifice 2000 (BO2K) Data Port 
    79     tcp         CDK                      [trojan] CDK 
    79     tcp         Firehotcker              [trojan] Firehotcker 
    80     tcp         http                     World Wide Web HTTP 
    80     udp         http                     World Wide Web HTTP 
    80     tcp         711trojan                [trojan] 711 trojan (Seven Eleven) 
    80     tcp         AckCmd                   [trojan] AckCmd 
    80     tcp         AckCmd                   [trojan] AckCmd 
    80     tcp         BackEnd                  [trojan] Back End 
    80     tcp         BO2000Plug-Ins           [trojan] Back Orifice 2000 Plug-Ins 
    80     tcp         Cafeini                  [trojan] Cafeini 
    80     tcp         CGIBackdoor              [trojan] CGI Backdoor 
    80     tcp         Executor                 [trojan] Executor 
    80     tcp         GodMessage4Creator       [trojan] God Message 4 Creator 
    80     tcp         GodMessage               [trojan] God Message 
    80     tcp         Hooker                   [trojan] Hooker 
    80     tcp         IISworm                  [trojan] IISworm 
    80     tcp         MTX                      [trojan] MTX 
    80     tcp         NCX                      [trojan] NCX 
    80     tcp         Noob                     [trojan] Noob 
    80     tcp         Ramen                    [trojan] Ramen 
    80     tcp         ReverseWWWTunnel         [trojan] Reverse WWW Tunnel Backdoor 
    80     tcp         RingZero                 [trojan] RingZero 
    80     tcp         RTB666                   [trojan] RTB 666 
    80     tcp         Seeker                   [trojan] Seeker 
    80     tcp         WANRemote                [trojan] WAN Remote 
    80     tcp         WebDownloader            [trojan] WebDownloader 
    80     tcp         WebServerCT              [trojan] Web Server CT 
    81     tcp         hosts2-ns                HOSTS2 Name Server 
    81     udp         hosts2-ns                HOSTS2 Name Server 
    81     tcp         RemoConChubo             [trojan] RemoConChubo 
    81     tcp         RemoConChubo             [trojan] RemoConChubo 
    82     tcp         xfer                     XFER Utility 
    82     udp         xfer                     XFER Utility 
    83     tcp         mit-ml-dev               MIT ML Device 
    83     udp         mit-ml-dev               MIT ML Device 
    84     tcp         ctf                      Common Trace Facility 
    84     udp         ctf                      Common Trace Facility 
    85     tcp         mit-ml-dev               MIT ML Device 
    85     udp         mit-ml-dev               MIT ML Device 
    86     tcp         mfcobol                  Micro Focus Cobol 
    86     udp         mfcobol                  Micro Focus Cobol 
    87     tcp         priv-term-l              any private terminal link  ttylink 
    88     tcp         kerberos                 Kerberos 
    88     udp         kerberos                 Kerberos 
    89     tcp         su-mit-tg                SU MIT Telnet Gateway 
    89     udp         su-mit-tg                SU MIT Telnet Gateway 
    90     tcp         dnsix                    DNSIX Securit Attribute Token Map 
    90     udp         dnsix                    DNSIX Securit Attribute Token Map 
    91     tcp         mit-dov                  MIT Dover Spooler 
    91     udp         mit-dov                  MIT Dover Spooler 
    92     tcp         npp                      Network Printing Protocol 
    92     udp         npp                      Network Printing Protocol 
    93     tcp         dcp                      Device Control Protocol 
    93     udp         dcp                      Device Control Protocol 
    94     tcp         objcall                  Tivoli Object Dispatcher 
    94     udp         objcall                  Tivoli Object Dispatcher 
    95     tcp         supdup                   BSD supdupd(8) 
    95     udp         supdup                   BSD supdupd(8) 
    96     tcp         dixie                    DIXIE Protocol Specification 
    96     udp         dixie                    DIXIE Protocol Specification 
    97     tcp         swift-rvf                Swift Remote Virtural File Protocol 
    97     udp         swift-rvf                Swift Remote Virtural File Protocol 
    98     tcp         linuxconf                linuxconf 
    98     tcp         tacnews                  TAC News 
    98     udp         tacnews                  TAC News 
    99     tcp         metagram                 Metagram Relay 
    99     udp         metagram                 Metagram Relay 
    99     tcp         HiddenPort               [trojan] Hidden Port 
    99     tcp         Hidden                   [trojan] Hidden 
    99     tcp         Mandragore               [trojan] Mandragore 
    99     tcp         NCX                      [trojan] NCX 
   100     tcp         newacct                  [unauthorized use] 
   101     tcp         hostname                 NIC Host Name Server 
   101     udp         hostname                 NIC Host Name Server 
   102     tcp         iso-tsap                 ISO Transport Service Access Point 
   102     udp         iso-tsap                 ISO Transport Service Access Point 
   103     tcp         gppitnp                  Genesis Point-to-Point Trans Net 
   103     udp         gppitnp                  Genesis Point-to-Point Trans Net 
   104     tcp         acr-nema                 ACR-NEMA Digital Imag. & Comm. 300 
   104     udp         acr-nema                 ACR-NEMA Digital Imag. & Comm. 300 
   105     tcp         csnet-ns                 Mailbox Name Nameserver 
   105     udp         csnet-ns                 Mailbox Name Nameserver 
   106     tcp         3com-tsmux               3COM-TSMUX 
   106     udp         3com-tsmux               3COM-TSMUX 
   106     tcp         pop3pw                   Eudora compatible PW changer 
   107     tcp         rtelnet                  Remote Telnet 
   107     udp         rtelnet                  Remote Telnet Service 
   108     tcp         snagas                   SNA Gateway Access Server 
   108     udp         snagas                   SNA Gateway Access Server 
   109     tcp         pop2                     PostOffice V.2 
   109     udp         pop2                     PostOffice V.2 
   110     tcp         pop3                     PostOffice V.3 
   110     udp         pop3                     PostOffice V.3 
   110     tcp         ProMailtrojan            [trojan] ProMail trojan 
   110     tcp         ProMailtrojan            [trojan] ProMail trojan 
   111     tcp         sunrpc                   portmapper  rpcbind 
   111     udp         sunrpc                   portmapper  rpcbind 
   112     tcp         mcidas                   McIDAS Data Transmission Protocol 
   112     udp         mcidas                   McIDAS Data Transmission Protocol 
   113     tcp         auth                     ident Authentication Service 
   113     udp         auth                     ident Authentication Service 
   113     tcp         InvisibleIdentdDaemon    [trojan] Invisible Identd Daemon 
   113     tcp         InvisibleIdentdDeamon    [trojan] Invisible Identd Deamon 
   113     tcp         Kazimas                  [trojan] Kazimas 
   114     tcp         audionews                Audio News Multicast 
   114     udp         audionews                Audio News Multicast 
   115     tcp         sftp                     Simple File Transfer Protocol 
   115     udp         sftp                     Simple File Transfer Protocol 
   116     tcp         ansanotify               ANSA REX Notify 
   116     udp         ansanotify               ANSA REX Notify 
   117     tcp         uucp-path                UUCP Path Service 
   117     udp         uucp-path                UUCP Path Service 
   118     tcp         sqlserv                  SQL Services 
   118     udp         sqlserv                  SQL Services 
   119     tcp         nntp                     Network News Transfer Protocol 
   119     udp         nntp                     Network News Transfer Protocol 
   119     tcp         Happy99                  [trojan] Happy99 (a.k.a. Ska trojan) 
   120     tcp         cfdptkt                  CFDPTKT 
   120     udp         cfdptkt                  CFDPTKT 
   121     tcp         erpc                     Encore Expedited Remote Pro.Call 
   121     udp         erpc                     Encore Expedited Remote Pro.Call 
   121     tcp         AttackBot                [trojan] Attack Bot 
   121     tcp         GodMessage               [trojan] God Message 
   121     tcp         JammerKillah             [trojan] JammerKillah 
   121     tcp         JammerKillah             [trojan] Jammer Killah 
   122     tcp         smakynet                 SMAKYNET 
   122     udp         smakynet                 SMAKYNET 
   123     tcp         NetController            [trojan] Net Controller 
   123     tcp         NetController            [trojan] Net Controller 
   123     tcp         ntp                      Network Time Protocol 
   123     udp         ntp                      Network Time Protocol 
   124     tcp         ansatrader               ANSA REX Trader 
   124     udp         ansatrader               ANSA REX Trader 
   125     tcp         locus-map                Locus PC-Interface Net Map Ser 
   125     udp         locus-map                Locus PC-Interface Net Map Ser 
   126     tcp         nxedit                   NXEdit 
   126     udp         nxedit                   NXEdit 
   126     tcp         unitary                  Unisys Unitary Login 
   126     udp         unitary                  Unisys Unitary Login 
   127     tcp         locus-con                Locus PC-Interface Conn Server 
   127     udp         locus-con                Locus PC-Interface Conn Server 
   128     tcp         gss-xlicen               GSS X License Verification 
   128     udp         gss-xlicen               GSS X License Verification 
   129     tcp         pwdgen                   Password Generator Protocol 
   129     udp         pwdgen                   Password Generator Protocol 
   130     tcp         cisco-fna                cisco FNATIVE 
   130     udp         cisco-fna                cisco FNATIVE 
   131     tcp         cisco-tna                cisco TNATIVE 
   131     udp         cisco-tna                cisco TNATIVE 
   132     tcp         cisco-sys                cisco SYSMAINT 
   132     udp         cisco-sys                cisco SYSMAINT 
   133     tcp         statsrv                  Statistics Service 
   133     udp         statsrv                  Statistics Service 
   133     tcp         Farnaz                   [trojan] Farnaz 
   134     tcp         ingres-net               INGRES-NET Service 
   134     udp         ingres-net               INGRES-NET Service 
   135     tcp         epmap                    DCE endpoint resolution 
   135     udp         epmap                    DCE endpoint resolution 
   135     tcp         loc-srv                  NCS Location Service 
   135     udp         loc-srv                  NCS Location Service 
   136     tcp         profile                  PROFILE Naming System 
   136     udp         profile                  PROFILE Naming System 
   137     tcp         netbios-ns               NETBIOS Name Service 
   137     udp         netbios-ns               NETBIOS Name Service 
   137     tcp         Chode                    [trojan] Chode 
   137     tcp         Qaz                      [trojan] Qaz 
   137     udp         Msinit                   [trojan] Msinit 
   138     tcp         netbios-dgm              NETBIOS Datagram Service 
   138     udp         netbios-dgm              NETBIOS Datagram Service 
   138     tcp         Chode                    [trojan] Chode 
   139     tcp         netbios-ssn              NETBIOS Session Service 
   139     udp         netbios-ssn              NETBIOS Session Service 
   139     tcp         Chode                    [trojan] Chode 
   139     tcp         GodMessageworm           [trojan] God Message worm 
   139     tcp         Msinit                   [trojan] Msinit 
   139     tcp         Netlog                   [trojan] Netlog 
   139     tcp         Network                  [trojan] Network 
   139     tcp         Qaz                      [trojan] Qaz 
   139     tcp         Sadmind                  [trojan] Sadmind 
   139     tcp         SMBRelay                 [trojan] SMB Relay 
   140     tcp         emfis-data               EMFIS Data Service 
   140     udp         emfis-data               EMFIS Data Service 
   141     tcp         emfis-cntl               EMFIS Control Service 
   141     udp         emfis-cntl               EMFIS Control Service 
   142     tcp         bl-idm                   Britton-Lee IDM 
   142     udp         bl-idm                   Britton-Lee IDM 
   142     tcp         NetTaxi                  [trojan] NetTaxi 
   143     tcp         imap                     Internet Message Access Protocol 
   143     udp         imap                     Internet Message Access Protocol 
   144     tcp         uma                      Universal Management Architecture 
   144     udp         uma                      Universal Management Architecture 
   144     udp         news                     NewS window system 
   144     tcp         news                     NewS window system 
   145     tcp         uaac                     UAAC Protocol 
   145     udp         uaac                     UAAC Protocol 
   146     tcp         iso-tp0                  ISO-IP0 
   146     udp         iso-tp0                  ISO-IP0 
   146     tcp         Infector                 [trojan] Infector 
   146     udp         Infector                 [trojan] Infector 
   147     tcp         iso-ip                   ISO-IP 
   147     udp         iso-ip                   ISO-IP 
   148     tcp         jargon                   Jargon 
   148     udp         jargon                   Jargon 
   148     tcp         cronus                   CRONUS-SUPPORT 
   148     udp         cronus                   CRONUS-SUPPORT 
   149     tcp         aed-512                  AED 512 Emulation Service 
   149     udp         aed-512                  AED 512 Emulation Service 
   150     tcp         sql-net                  SQL-NET 
   150     udp         sql-net                  SQL-NET 
   151     tcp         hems                     HEMS 
   151     udp         hems                     HEMS 
   152     tcp         bftp                     Background File Transfer Program 
   152     udp         bftp                     Background File Transfer Program 
   153     tcp         sgmp                     SGMP 
   153     udp         sgmp                     SGMP 
   154     tcp         netsc-prod               NETSC 
   154     udp         netsc-prod               NETSC 
   155     tcp         netsc-dev                NETSC 
   155     udp         netsc-dev                NETSC 
   156     tcp         sqlsrv                   SQL Service 
   156     udp         sqlsrv                   SQL Service 
   157     tcp         knet-cmp                 KNET VM Command Message Protocol 
   157     udp         knet-cmp                 KNET VM Command Message Protocol 
   158     tcp         pcmail-srv               PCMail Server 
   158     udp         pcmail-srv               PCMail Server 
   159     tcp         nss-routing              NSS-Routing 
   159     udp         nss-routing              NSS-Routing 
   160     tcp         sgmp-traps               SGMP-TRAPS 
   160     udp         sgmp-traps               SGMP-TRAPS 
   161     tcp         snmp                     SNMP 
   161     udp         snmp                     SNMP 
   162     tcp         snmptrap                 SNMPTRAP 
   162     udp         snmptrap                 SNMPTRAP 
   163     tcp         cmip-man                 CMIP TCP Manager 
   163     udp         cmip-man                 CMIP TCP Manager 
   164     tcp         cmip-agent               CMIP TCP Agent 
   164     udp         smip-agent               CMIP TCP Agent 
   165     tcp         xns-courier              Xerox 
   165     udp         xns-courier              Xerox 
   166     tcp         s-net                    Sirius Systems 
   166     udp         s-net                    Sirius Systems 
   166     tcp         NokNok                   [trojan] NokNok 
   167     tcp         namp                     NAMP 
   167     udp         namp                     NAMP 
   168     tcp         rsvd                     RSVD 
   168     udp         rsvd                     RSVD 
   169     tcp         send                     SEND 
   169     udp         send                     SEND 
   170     tcp         print-srv                Network PostScript 
   170     udp         print-srv                Network PostScript 
   170     tcp         A-trojan                 [trojan] A-trojan 
   171     tcp         multiplex                Network Innovations Multiplex 
   171     udp         multiplex                Network Innovations Multiplex 
   172     tcp         cl-1                     Network Innovations CL 1 
   172     udp         cl-1                     Network Innovations CL 1 
   173     tcp         xyplex-mux               Xyplex 
   173     udp         xyplex-mux               Xyplex 
   174     tcp         mailq                    MAILQ 
   174     udp         mailq                    MAILQ 
   175     tcp         vmnet                    VMNET 
   175     udp         vmnet                    VMNET 
   176     tcp         genrad-mux               GENRAD-MUX 
   176     udp         genrad-mux               GENRAD-MUX 
   177     tcp         xdmcp                    X Display Manager Control Protocol 
   177     udp         xdmcp                    X Display Manager Control Protocol 
   178     tcp         nextstep                 NextStep Window Server 
   178     udp         nextstep                 NextStep Window Server 
   179     tcp         bgp                      Border Gateway Protocol 
   179     udp         bgp                      Border Gateway Protocol 
   180     tcp         ris                      Intergraph 
   180     udp         ris                      Intergraph 
   181     tcp         unify                    Unify 
   181     udp         unify                    Unify 
   182     tcp         audit                    Unisys Audit SITP 
   182     udp         audit                    Unisys Audit SITP 
   183     tcp         ocbinder                 OCBinder 
   183     udp         ocbinder                 OCBinder 
   184     tcp         ocserver                 OCServer 
   184     udp         ocserver                 OCServer 
   185     tcp         remote-kis               Remote-KIS 
   185     udp         remote-kis               Remote-KIS 
   186     tcp         kis                      KIS Protocol 
   186     udp         kis                      KIS Protocol 
   187     tcp         aci                      Application Communication Interface 
   187     udp         aci                      Application Communication Interface 
   188     tcp         mumps                    Plus Five's MUMPS 
   188     udp         mumps                    Plus Five's MUMPS 
   189     tcp         qft                      Queued File Transport 
   189     udp         qft                      Queued File Transport 
   190     tcp         gacp                     Gateway Access Control Protocol 
   190     udp         gacp                     Gateway Access Control Protocol 
   191     tcp         prospero                 Prospero Directory Service 
   191     udp         prospero                 Prospero Directory Service 
   192     tcp         osu-nms                  OSU Network Monitoring System 
   192     udp         osu-nms                  OSU Network Monitoring System 
   193     tcp         srmp                     Spider Remote Monitoring Protocol 
   193     udp         srmp                     Spider Remote Monitoring Protocol 
   194     tcp         irc                      Internet Relay Chat Protocol 
   194     udp         irc                      Internet Relay Chat Protocol 
   195     tcp         dn6-nlm-aud              DNSIX Network Level Module Audit 
   195     udp         dn6-nlm-aud              DNSIX Network Level Module Audit 
   196     tcp         dn6-smm-red              DNSIX Session Mgt Module Audit Redir 
   196     udp         dn6-smm-red              DNSIX Session Mgt Module Audit Redir 
   197     tcp         dls                      Directory Location Service 
   197     udp         dls                      Directory Location Service 
   198     tcp         dls-mon                  Directory Location Service Monitor 
   198     udp         dls-mon                  Directory Location Service Monitor 
   199     tcp         smux                     SMUX 
   199     udp         smux                     SMUX 
   200     tcp         src                      IBM System Resource Controller 
   200     udp         src                      IBM System Resource Controller 
   201     tcp         at-rtmp                  AppleTalk Routing Maintenance 
   201     udp         at-rtmp                  AppleTalk Routing Maintenance 
   202     tcp         at-nbp                   AppleTalk Name Binding 
   202     udp         at-nbp                   AppleTalk Name Binding 
   203     tcp         at-3                     AppleTalk Unused 
   203     udp         at-3                     AppleTalk Unused 
   204     tcp         at-echo                  AppleTalk Echo 
   204     udp         at-echo                  AppleTalk Echo 
   205     tcp         at-5                     AppleTalk Unused 
   205     udp         at-5                     AppleTalk Unused 
   206     tcp         at-zis                   AppleTalk Zone Information 
   206     udp         at-zis                   AppleTalk Zone Information 
   207     tcp         at-7                     AppleTalk Unused 
   207     udp         at-7                     AppleTalk Unused 
   208     tcp         at-8                     AppleTalk Unused 
   208     udp         at-8                     AppleTalk Unused 
   209     tcp         qmtp                     The Quick Mail Transfer Protocol 
   209     udp         qmtp                     The Quick Mail Transfer Protocol 
   209     tcp         tam                      Trivial Authenticated Mail Protocol 
   209     udp         tam                      Trivial Authenticated Mail Protocol 
   210     tcp         z39.50                   ANSI Z39.50 
   210     udp         z39.50                   ANSI Z39.50 
   211     tcp         914c                     Texas Instruments 914C/G Terminal 
   211     udp         914c                     Texas Instruments 914C/G Terminal 
   212     tcp         anet                     ATEXSSTR 
   212     udp         anet                     ATEXSSTR 
   213     tcp         ipx                      IPX 
   213     udp         ipx                      IPX 
   214     tcp         vmpwscs                  VM PWSCS 
   214     udp         vmpwscs                  VM PWSCS 
   215     tcp         softpc                   Insignia Solutions 
   215     udp         softpc                   Insignia Solutions 
   216     tcp         CAIlic                   Computer Associates Int'l License Server 
   216     udp         CAIlic                   Computer Associates Int'l License Server 
   216     tcp         atls                     Access Technology License Server 
   216     udp         atls                     Access Technology License Server 
   217     tcp         dbase                    dBASE Unix 
   217     udp         dbase                    dBASE Unix 
   218     tcp         mpp                      Netix Message Posting Protocol 
   218     udp         mpp                      Netix Message Posting Protocol 
   219     tcp         uarps                    Unisys ARPs 
   219     udp         uarps                    Unisys ARPs 
   220     tcp         imap3                    Interactive Mail Access Protocol v3 
   220     udp         imap3                    Interactive Mail Access Protocol v3 
   221     tcp         fln-spx                  Berkeley rlogind with SPX auth 
   221     udp         fln-spx                  Berkeley rlogind with SPX auth 
   222     tcp         rsh-spx                  Berkeley rshd with SPX auth 
   222     udp         rsh-spx                  Berkeley rshd with SPX auth 
